"ENSG","UNIPROTID","SYMBOL","Fold_Change","P_Value","Adjusted_P_Value"
"ENSG00000253305","Q9Y5F9","PCDHGB6",0.198501802721088,7.16279270023755e-18,2.40131222639818e-16
"ENSG00000183580","Q9UJT9","FBXL7",0.101297782312925,1.45377936869576e-10,1.32412671049949e-09
"ENSG00000113296",NA,"THBS4",0.139879197278912,1.67084327415717e-14,2.94288444995584e-13
"ENSG00000128652",NA,"HOXD3",0.24307731292517,2.6865085237301e-25,6.27177626267174e-23
"ENSG00000157005","P61278","SST",0.266164224489796,1.09585029976776e-24,2.13192694682092e-22
"ENSG00000119973","P49683","PRLHR",0.119097278911565,5.81634726417154e-18,1.98638218351747e-16
"ENSG00000204839","A6NGR9","MROH6",0.23099768707483,9.95453879328344e-25,1.99712934540249e-22
"ENSG00000198216","E9PIE8","CACNA1E",0.122117034013605,8.51099914033189e-14,1.32301729978041e-12
"ENSG00000182631","Q9NSD7","RXFP3",0.152056952380952,2.03478732660562e-15,4.26209939210704e-14
"ENSG00000162782","Q8NAT2","TDRD5",0.146326448979592,6.84392464347429e-14,1.09027285883635e-12
"ENSG00000185149","P49146","NPY2R",0.127487,1.40883929572307e-19,6.80056261544518e-18
"ENSG00000187772",NA,"LIN28B",0.11223612244898,1.1707071442927e-15,2.57395200902711e-14
"ENSG00000124827","O75603","GCM2",0.104136870748299,2.13525414228645e-16,5.26231539097082e-15
"ENSG00000187715","Q3ZCT8","KBTBD12",0.139797639455782,2.68071296449398e-09,1.92723149295088e-08
"ENSG00000009709","P23759","PAX7",0.19544519047619,3.19470595479976e-21,2.51656591776864e-19
"ENSG00000183778","Q9Y2C3","B3GALT5",0.126494244897959,1.29643263888669e-16,3.3299851782482e-15
"ENSG00000113430","P78413","IRX4",0.210818510204082,6.28319174850353e-24,9.60430738699825e-22
"ENSG00000162722","Q8NG06","TRIM58",0.195646448979592,1.34095685521917e-19,6.52192652311142e-18
"ENSG00000175718","Q8N7X1","RBMXL3",0.221660986394558,3.4871310565671e-05,0.00010441875645131
"ENSG00000103546","P23975","SLC6A2",0.117629040816327,2.98590026428151e-20,1.73479454268663e-18
"ENSG00000188779","P84550","SKOR1",0.121384469387755,5.97357096055672e-23,7.0367569847292e-21
"ENSG00000186994","Q6NY19","KANK3",-0.211385843537415,2.89751900800438e-26,1.09423953125813e-23
"ENSG00000164483","E9PRU9","SAMD3",0.144604217687075,9.55923319279303e-12,1.07010073404937e-10
"ENSG00000183644","Q6PI97","C11orf88",0.160410693877551,1.72200476158179e-08,1.05640425889681e-07
"ENSG00000151388","P58397","ADAMTS12",0.176043455782313,6.52516506199626e-15,1.2449200504611e-13
"ENSG00000163497","Q99581","FEV",0.134989387755102,1.25500397621273e-18,4.98026719403446e-17
"ENSG00000198185","Q9HCZ1","ZNF334",0.113145619047619,7.87324392423505e-11,7.51058335714547e-10
"ENSG00000123569","Q7Z2G1","H2BFWT",-0.131740884353742,2.82520941024218e-08,1.65340423097127e-07
"ENSG00000187416","Q86UP9","LHFPL3",0.185901020408163,4.47072913602075e-18,1.57703742050842e-16
"ENSG00000144191",NA,"CNGA3",0.117208299319728,3.383869390104e-13,4.68704239147092e-12
"ENSG00000182256","Q99928","GABRG3",0.143518163265306,2.61037335318924e-20,1.53748595664907e-18
"ENSG00000171533","Q96JE9","MAP6",0.110647394557823,1.84288461698571e-06,7.33497783078006e-06
"ENSG00000114279","P61328","FGF12",0.136173673469388,5.0335777546774e-20,2.76201446025888e-18
"ENSG00000182255","P22459","KCNA4",0.131424319727891,3.67175103005684e-14,6.13870875337627e-13
"ENSG00000006377","P56179","DLX6",0.162847224489796,3.30502618894344e-17,9.82327228380411e-16
"ENSG00000123901","Q9NYM4","GPR83",0.113570353741497,2.71318958258973e-13,3.79905716907875e-12
"ENSG00000136574","B3KUF4","GATA4",0.139245442176871,7.83225199235425e-20,4.05508530571889e-18
"ENSG00000198010",NA,"DLGAP2",0.194265149659864,8.55312483616674e-17,2.31204469255539e-15
"ENSG00000148826","Q9C056","NKX6-2",0.192615006802721,2.98195835173669e-24,4.84662597927837e-22
"ENSG00000034239",NA,"EFCAB1",0.110798367346939,1.76658559864033e-06,7.07736632965423e-06
"ENSG00000166148","P37288","AVPR1A",0.17460687755102,4.4411221686388e-17,1.29306142052885e-15
"ENSG00000130640","Q9BSJ2","TUBGCP2",-0.168487482993197,1.78551244399247e-20,1.12382253827761e-18
"ENSG00000129596","Q16878","CDO1",0.211941605442177,1.36216993949542e-20,8.83623899466606e-19
"ENSG00000016082","P61371","ISL1",0.159304945578231,2.97007588738811e-18,1.08340268164953e-16
"ENSG00000078328","F8VR27","RBFOX1",0.163780816326531,1.99773764724585e-22,2.06862511214812e-20
"ENSG00000112238","Q9H4Q3","PRDM13",0.13356325170068,2.82463357723689e-25,6.47648127352172e-23
"ENSG00000002746","Q76N89","HECW1",0.201448244897959,1.51523498482404e-21,1.35108452813477e-19
"ENSG00000141837","O00555","CACNA1A",0.167022353741497,5.17337250277463e-18,1.79530007934125e-16
"ENSG00000137273","Q12947","FOXF2",0.121718816326531,6.66336535671114e-17,1.84391403405541e-15
"ENSG00000269964","A8MW99","MEI4",0.123995034013605,1.23547833396583e-11,1.3605095890327e-10
"ENSG00000153395","Q8NF37","LPCAT1",-0.106415102040817,3.45818802383321e-12,4.15628253910553e-11
"ENSG00000077080","O94805","ACTL6B",0.131002326530612,1.49042907958278e-11,1.62041569702311e-10
"ENSG00000156925","O60481","ZIC3",0.107203462585034,9.12205957415025e-05,0.00024803945579139
"ENSG00000109424","P25874","UCP1",0.110513666666667,1.17580170642241e-10,1.0892708449108e-09
"ENSG00000213420","Q8N158","GPC2",0.183339333333333,5.90612839998265e-17,1.65940237758812e-15
"ENSG00000181666","F5H6A5","HKR1",0.131029714285714,4.98084423957641e-11,4.93472531143218e-10
"ENSG00000133169","Q9HBH7","BEX1",0.155772170068027,6.03310109248698e-06,2.14703486772541e-05
"ENSG00000144218","P51826","AFF3",0.103967923809524,0.00115169184924179,0.00245087959096865
"ENSG00000129152","P15172","MYOD1",0.118648993197279,3.69517693590986e-17,1.08821265727254e-15
"ENSG00000134249","Q9UKF2","ADAM30",0.168487891156463,9.26070257571185e-23,1.03397757454035e-20
"ENSG00000187800","F2Z2F7","PEAR1",0.178864027210884,5.63312760852043e-18,1.93394006666851e-16
"ENSG00000185610","Q6ZNG2","DBX2",0.125442979591837,1.38447493560604e-12,1.75485273180469e-11
"ENSG00000087495","Q96KR7","PHACTR3",0.153432836734694,5.14433625865834e-20,2.81077776856056e-18
"ENSG00000144583","Q9P2E8","MARCH4",0.118639340136054,4.0299954812467e-19,1.72483806597359e-17
"ENSG00000003987","Q9Y216","MTMR7",0.26714693877551,8.27665921791222e-19,3.3630476062656e-17
"ENSG00000158445",NA,"KCNB1",0.149239904761905,7.87074817691422e-18,2.61814524848649e-16
"ENSG00000156395","Q9UPU3","SORCS3",0.17070556462585,1.89010551368302e-27,1.103134308895e-24
